id,placename,municipality,province,population
295005,Matatiele NU,Matatiele,Eastern Cape,5630
176002,Jonkersberg State Forest,Mossel Bay,Western Cape,114
580159,Othinsangu,Nongoma,KwaZulu-Natal,1981
297234,Emdikisweni,Mbizana,Eastern Cape,1351
877117,Legokgwe,Bushbuckridge,Mpumalanga,12064
290086,Mtshayelo,Ngquza Hill,Eastern Cape,1620
290095,Taweni,Ngquza Hill,Eastern Cape,1570
296187,Chani,Umzimvubu,Eastern Cape,287
171004,Genadendal,Theewaterskloof,Western Cape,5663
283151,Kwa-Blangwe,Emalahleni,Eastern Cape,208
976006,Mahlatsani,Lepele-Nkumpi,Limpopo,531
593043,Mkhukhuze,Ndwedwe,KwaZulu-Natal,637
296164,Njijini,Umzimvubu,Eastern Cape,4254
594059,Sawoti,Ingwe,KwaZulu-Natal,541
966074,Vondwe,Thulamela,Limpopo,6521
297162,Bhukuva,Mbizana,Eastern Cape,103
296132,Dlabhani,Umzimvubu,Eastern Cape,204
970053,Ga-Kgoroshi,Aganang,Limpopo,698
964021,Harmony,Maruleng,Limpopo,23
664047,Koedoespruit,Moses Kotane,North West,2938
260110,KwaNdubungela,Buffalo City,Eastern Cape,568
283201,Luxeni,Emalahleni,Eastern Cape,113
293263,Mangonkone,Mhlontlo,Eastern Cape,581
297009,Mbuthweni B,Mbizana,Eastern Cape,913
674024,Morokweng B,Kagisano/Molopo,North West,14260
593002,Ndwedwe NU,Ndwedwe,KwaZulu-Natal,4911
287001,Ntatyana,Senqu,Eastern Cape,366
283180,Qithi,Emalahleni,Eastern Cape,414
567030,Simondi,Mkhambathini,KwaZulu-Natal,669
965107,Tshilavulu,Mutale,Limpopo,616
169005,Zolani,Langeberg,Western Cape,5598
580030,Bangamaya,Nongoma,KwaZulu-Natal,1199
464007,Brandfort,Masilonyana,Free State,3134
526054,Dannhauser,Dannhauser,KwaZulu-Natal,6493
461004,Edenburg,Kopanong,Free State,1409
546013,Esiweni/Amambulwa,Maphumulo,KwaZulu-Natal,1531
982106,GaMasenya,Mogalakwena,Limpopo,907
960002,Greater Giyani NU,Greater Giyani,Limpopo,1801
561019,Ifafa marine,Umdoni,KwaZulu-Natal,187
265012,Kenton on Sea,Ndlambe,Eastern Cape,5154
270143,KuManxiweni,Mbhashe,Eastern Cape,414
270104,KwaLuvundu,Mbhashe,Eastern Cape,387
284242,KwaTshatshu B,Engcobo,Eastern Cape,421
284146,Lower Gqobonco,Engcobo,Eastern Cape,584
295278,Madlangeni,Matatiele,Eastern Cape,198
472036,Makwane,Maluti a Phofung,Free State,18550
282052,Maqwatini A,Intsika Yethu,Eastern Cape,612
287120,Maxeba,Senqu,Eastern Cape,1167
286043,Mgcetyana,Elundini,Eastern Cape,480
969005,Modimvuhusi,Blouberg,Limpopo,1343
296226,Mpongweni,Umzimvubu,Eastern Cape,111
364010,Nababeep,Nama Khoi,Northern Cape,5374
271450,Ngqolongwane,Mnquma,Eastern Cape,451
588032,Nomponjwana,Ntambanana,KwaZulu-Natal,2228
296025,Nxakaxha,Umzimvubu,Eastern Cape,141
282213,Phukwana A,Intsika Yethu,Eastern Cape,331
968123,Ribungwani,Makhado,Limpopo,2753
598159,Shamto,Umzimkhulu,KwaZulu-Natal,419
378012,Soverby,Kai !Garib,Northern Cape,970
294397,Thwalikhulu,King Sabata Dalindyebo,Eastern Cape,1456
599058,Umgagaba,eThekwini,KwaZulu-Natal,1552
293312,Xabane,Mhlontlo,Eastern Cape,1155
274070,eMxaxa,Ngqushwa,Eastern Cape,4
589138,Amatikulu,uMlalazi,KwaZulu-Natal,515
525004,Berouw,Emadlangeni,KwaZulu-Natal,1793
982067,Bokwidi,Mogalakwena,Limpopo,1354
296172,Butsheni,Umzimvubu,Eastern Cape,448
293085,Cokomfini,Mhlontlo,Eastern Cape,220
667054,Dihatshwane,Mafikeng,North West,1005
762008,Duduza,Lesedi,Gauteng,185
273123,Eluphendweni,Amahlathi,Eastern Cape,846
588034,Enkwenkwe A,Ntambanana,KwaZulu-Natal,884
274084,Fair View,Ngqushwa,Eastern Cape,365
661010,Ga-Moti,Madibeng,North West,5
293161,Gabazi,Mhlontlo,Eastern Cape,1561
260133,Gompo Town,Buffalo City,Eastern Cape,2254
293019,Gwadane,Mhlontlo,Eastern Cape,328
874043,Hlauhlau,Mbombela,Mpumalanga,9590
668016,Itekeng,Ditsobotla,North West,5626
667014,Kabe,Mafikeng,North West,1135
877134,Khokhamoya,Bushbuckridge,Mpumalanga,9466
874022,Kruger National Park,Mbombela,Mpumalanga,2349
270397,KuQangqalala,Mbhashe,Eastern Cape,1157
567029,KwaDwengu,Mkhambathini,KwaZulu-Natal,620
566013,KwaMgwagwa,The Msunduzi,KwaZulu-Natal,2135
294153,KwaNxura,King Sabata Dalindyebo,Eastern Cape,214
581131,Kweyezulu A,Ulundi,KwaZulu-Natal,977
986098,Letolong,Fetakgomo,Limpopo,118
297259,Lugwijini,Mbizana,Eastern Cape,1793
588038,Mabukata,Ntambanana,KwaZulu-Natal,966
985129,Magnetite,Makhuduthamaga,Limpopo,1844
969025,Makgari,Blouberg,Limpopo,564
361018,Mamoratwe,Ga-Segonyana,Northern Cape,2266
294028,Manyosi,King Sabata Dalindyebo,Eastern Cape,836
292164,Masameni,Nyandeni,Eastern Cape,654
986051,Matsha,Fetakgomo,Limpopo,415
575064,Mbewunye A,Nqutu,KwaZulu-Natal,304
598220,Mehlomane,Umzimkhulu,KwaZulu-Natal,580
290125,Mhlwazini,Ngquza Hill,Eastern Cape,1967
987162,Mmaphoko,Greater Tubatse,Limpopo,2634
962025,Moleketla,Greater Tzaneen,Limpopo,3123
295009,Moyeni B,Matatiele,Eastern Cape,460
