N        Array      BST(as-is)      BST(sorted)     BST(optimal)   
1000     904.0      14.1            873.3           9.8            
2000     1728.0     16.0            1713.2          10.7           
3000     2460.7     16.9            2533.2          11.4           
4000     3143.4     17.3            3329.5          11.6           
5000     3792.6     17.6            3849.3          11.9           
6000     4385.1     17.9            4303.7          12.2           
7000     4945.1     18.4            4717.6          12.3           
8000     5471.1     18.7            5086.7          12.4           
9000     5964.8     18.8            5406.9          12.6           
10000    6424.8     18.8            5656.5          12.7           
